idx,polygon_idx,name,shear_weightabs,area,cx,cy,x0,y0,x1,y1,x2,y2,tau_x,tau_y
119,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.160625,0.6909999999999998,0.1725,0.6922499999999999,0.1490625,0.6922499999999999,0.1603125,0.6884999999999999,140591.94933282988,35872.04139803847
120,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.14781249999999999,0.6822499999999999,0.159375,0.6809999999999999,0.148125,0.68475,0.1359375,0.6809999999999999,152061.8158231474,59018.96769848342
121,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.1365625,0.6859999999999999,0.148125,0.68475,0.136875,0.6884999999999999,0.1246875,0.68475,156336.89448419804,64149.039369548365
122,0,flange:flange,0.4166666666666667,4.394531250000034e-05,0.124375,0.6822499999999999,0.1359375,0.6809999999999999,0.1246875,0.68475,0.1125,0.6809999999999999,165207.61024185613,71737.10932304463
123,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.13625,0.6835,0.148125,0.68475,0.1246875,0.68475,0.1359375,0.6809999999999999,156336.89448419804,45124.96205007037
124,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.171875,0.68725,0.18375,0.6884999999999999,0.1603125,0.6884999999999999,0.1715625,0.68475,135752.87701857433,31481.53809056928
125,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.1484375,0.68725,0.1603125,0.6884999999999999,0.136875,0.6884999999999999,0.148125,0.68475,148144.86860315938,39572.9617264246
126,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.1596875,0.6835,0.1715625,0.68475,0.148125,0.68475,0.159375,0.6809999999999999,143491.3404242943,33307.54150191943
127,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.16,0.6859999999999999,0.1603125,0.6884999999999999,0.148125,0.68475,0.1715625,0.68475,143491.3404242943,54696.92830774933
128,0,flange:flange,0.4166666666666667,4.394531250000036e-05,-0.029687499999999995,0.6685,-0.03,0.6659999999999999,-0.0178125,0.66975,-0.041249999999999995,0.66975,-54507.513505450144,285927.574972262
129,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,-0.017499999999999998,0.67225,-0.0178125,0.66975,-0.005624999999999998,0.6735,-0.029062499999999998,0.6735,-20943.795110645395,284848.940508732
130,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,-0.040937499999999995,0.67225,-0.041249999999999995,0.66975,-0.029062499999999998,0.6735,-0.0525,0.6735,-76340.07477054684,255113.6094358812
131,0,flange:flange,0.4166666666666667,4.394531250000036e-05,-0.029375,0.6709999999999999,-0.0178125,0.66975,-0.029062499999999998,0.6735,-0.041249999999999995,0.66975,-54507.513505450144,184157.78532432704
132,0,flange:flange,0.4166666666666667,4.394531249999906e-05,-0.005312499999999998,0.6759999999999998,-0.005624999999999998,0.6735,0.006562500000000002,0.6772499999999999,-0.016874999999999998,0.6772499999999999,11293.753410844754,278073.43089162064
133,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.006875000000000003,0.67975,0.006562500000000002,0.6772499999999999,0.018750000000000003,0.6809999999999999,-0.004687499999999997,0.6809999999999999,41275.56340601761,264764.6254193659
134,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,-0.016562499999999997,0.67975,-0.016874999999999998,0.6772499999999999,-0.004687499999999997,0.6809999999999999,-0.028124999999999997,0.6809999999999999,-14583.048170663727,258918.80057374638
135,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,-0.0049999999999999975,0.6785,0.006562500000000002,0.6772499999999999,-0.004687499999999997,0.6809999999999999,-0.016874999999999998,0.6772499999999999,11293.753410844754,174819.19543384886
136,0,flange:flange,0.4166666666666667,4.394531249999906e-05,-0.0521875,0.6759999999999998,-0.0525,0.6735,-0.0403125,0.6772499999999999,-0.06375,0.6772499999999999,-92686.21298047248,219897.84612198672
137,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,-0.04,0.67975,-0.0403125,0.6772499999999999,-0.028124999999999997,0.6809999999999999,-0.0515625,0.6809999999999999,-65087.93323109392,231704.05805295956
138,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,-0.0634375,0.67975,-0.06375,0.6772499999999999,-0.0515625,0.6809999999999999,-0.075,0.6809999999999999,-103220.31911266192,183145.06373445195
